filename,width,height,class,xmin,ymin,xmax,ymax
poop-243-_jpg.rf.855869a7c6bdf47d712b4ba59467f2de.jpg,640,640,Defective,5,0,640,580
poop-243-_jpg.rf.855869a7c6bdf47d712b4ba59467f2de.jpg,640,640,Dusty,2,1,640,583
IMG-20230418-WA0038_jpg.rf.0dac11f085d6cc419926b6a143dad91a.jpg,640,640,Defective,49,212,588,586
IMG-20230418-WA0038_jpg.rf.0dac11f085d6cc419926b6a143dad91a.jpg,640,640,Physical Damage,103,415,295,572
IMG-20230418-WA0038_jpg.rf.0dac11f085d6cc419926b6a143dad91a.jpg,640,640,Physical Damage,242,284,450,399
IMG-20230418-WA0038_jpg.rf.0dac11f085d6cc419926b6a143dad91a.jpg,640,640,Physical Damage,170,224,245,284
IMG-20230418-WA0038_jpg.rf.0dac11f085d6cc419926b6a143dad91a.jpg,640,640,Physical Damage,328,220,412,266
153_png_jpg.rf.a8b0018b432d3b55a14469f0887ebe79.jpg,640,640,Non Defective,126,242,204,381
153_png_jpg.rf.a8b0018b432d3b55a14469f0887ebe79.jpg,640,640,Defective,347,226,492,389
153_png_jpg.rf.a8b0018b432d3b55a14469f0887ebe79.jpg,640,640,Snow,345,222,492,391
153_png_jpg.rf.a8b0018b432d3b55a14469f0887ebe79.jpg,640,640,Defective,1,59,104,79
153_png_jpg.rf.a8b0018b432d3b55a14469f0887ebe79.jpg,640,640,Snow,0,58,104,81
153_png_jpg.rf.a8b0018b432d3b55a14469f0887ebe79.jpg,640,640,Defective,0,93,121,127
153_png_jpg.rf.a8b0018b432d3b55a14469f0887ebe79.jpg,640,640,Snow,0,92,121,127
153_png_jpg.rf.a8b0018b432d3b55a14469f0887ebe79.jpg,640,640,Snow,233,237,281,409
153_png_jpg.rf.a8b0018b432d3b55a14469f0887ebe79.jpg,640,640,Snow,121,386,257,418
Electrical_Damge_71_jpg.rf.0754f8cdb4df17aeb536b2826cf3aac2.jpg,640,640,Defective,14,0,607,640
Electrical_Damge_71_jpg.rf.0754f8cdb4df17aeb536b2826cf3aac2.jpg,640,640,Physical Damage,56,344,259,555
IMG_20241003_093420_590_jpg.rf.8f5307a1550f485bd12b32becc1d9d0a.jpg,640,640,Dusty,16,1,609,640
IMG_20241003_093420_590_jpg.rf.8f5307a1550f485bd12b32becc1d9d0a.jpg,640,640,Defective,15,0,606,640
IMG-20230418-WA0039_jpg.rf.943b7e17eb050f629b1a35ed5506c66f.jpg,640,640,Defective,0,277,640,464
IMG-20230418-WA0039_jpg.rf.943b7e17eb050f629b1a35ed5506c66f.jpg,640,640,Physical Damage,500,363,640,462
IMG-20230418-WA0039_jpg.rf.943b7e17eb050f629b1a35ed5506c66f.jpg,640,640,Physical Damage,17,369,194,449
IMG-20230418-WA0039_jpg.rf.943b7e17eb050f629b1a35ed5506c66f.jpg,640,640,Physical Damage,234,299,442,406
IMG-20230418-WA0039_jpg.rf.943b7e17eb050f629b1a35ed5506c66f.jpg,640,640,Physical Damage,92,279,179,331
Electrical_Damge_92_jpg.rf.76c8516501d02b82935fc1dae40e5ef0.jpg,640,640,Defective,0,88,640,598
Electrical_Damge_55_jpg.rf.997f0d67afbd544761e5d69ea9578c1b.jpg,640,640,Defective,195,126,484,506
Electrical_Damge_55_jpg.rf.997f0d67afbd544761e5d69ea9578c1b.jpg,640,640,Physical Damage,357,149,412,249
Electrical_Damge_55_jpg.rf.997f0d67afbd544761e5d69ea9578c1b.jpg,640,640,Physical Damage,272,298,369,373
IMG_0391_jpg.rf.ef4700dafc647a781a352811220c12d7.jpg,640,640,Non Defective,73,96,551,555
Electrical_Damge_76_jpg.rf.01bf5c07e1714cb1235d6a9710f1075c.jpg,640,640,Defective,44,0,640,639
Electrical_Damge_76_jpg.rf.4af197c5fa1586d1ae1ff20ec62092e8.jpg,640,640,Defective,0,0,610,637
Electrical_Damge_67_jpg.rf.172aa9f6f2fca46ae1e7aac113182600.jpg,640,640,Defective,0,6,631,640
Electrical_Damge_67_jpg.rf.ae291ce5cdee5d653a97bddd3ad6ee4a.jpg,640,640,Defective,9,6,640,640
IMG_0392_jpg.rf.60825d6017e417507151628b0cbcd5bc.jpg,640,640,Non Defective,154,238,431,446
Physical_Damge_311_jpg.rf.94e17db38983e4435dd9be12ccc64b22.jpg,640,640,Defective,0,0,640,640
Physical_Damge_311_jpg.rf.94e17db38983e4435dd9be12ccc64b22.jpg,640,640,Physical Damage,292,90,403,158
Physical_Damge_311_jpg.rf.94e17db38983e4435dd9be12ccc64b22.jpg,640,640,Physical Damage,310,307,389,377
Physical_Damge_311_jpg.rf.94e17db38983e4435dd9be12ccc64b22.jpg,640,640,Physical Damage,180,391,262,489
Physical_Damge_311_jpg.rf.94e17db38983e4435dd9be12ccc64b22.jpg,640,640,Physical Damage,589,274,640,401
Physical_Damge_311_jpg.rf.94e17db38983e4435dd9be12ccc64b22.jpg,640,640,Non Defective,1,23,226,206
Physical_Damge_311_jpg.rf.94e17db38983e4435dd9be12ccc64b22.jpg,640,640,Non Defective,0,508,103,634
Physical_Damge_311_jpg.rf.94e17db38983e4435dd9be12ccc64b22.jpg,640,640,Non Defective,495,489,640,625
IMG_0399_jpg.rf.2db71cb6dd387a67566c458a6394742c.jpg,640,640,Non Defective,55,122,591,490
ROI_16_jpg.rf.43cd6c763842535ae94a3801a594fe30.jpg,640,640,Bird Drop,286,484,352,542
ROI_16_jpg.rf.43cd6c763842535ae94a3801a594fe30.jpg,640,640,Dusty,12,485,293,635
ROI_96_jpg.rf.99bf889b9e41d3318effbcebb016cc4a.jpg,640,640,Dusty,261,482,570,604
ROI_96_jpg.rf.99bf889b9e41d3318effbcebb016cc4a.jpg,640,640,Dusty,0,526,150,631
IMG_0399_jpg.rf.2c93ca1ec8899b1bc7317c86f354e0a2.jpg,640,640,Non Defective,56,103,590,508
poop-139-_jpg.rf.c20c624032d590eb750cf3ca6a897dbd.jpg,640,640,Defective,0,179,400,490
poop-139-_jpg.rf.c20c624032d590eb750cf3ca6a897dbd.jpg,640,640,Dusty,0,181,403,488
poop-139-_jpg.rf.c20c624032d590eb750cf3ca6a897dbd.jpg,640,640,Defective,99,126,640,417
poop-139-_jpg.rf.c20c624032d590eb750cf3ca6a897dbd.jpg,640,640,Dusty,201,159,640,423
poop-139-_jpg.rf.c20c624032d590eb750cf3ca6a897dbd.jpg,640,640,Bird Drop,221,315,301,383
poop-139-_jpg.rf.c20c624032d590eb750cf3ca6a897dbd.jpg,640,640,Bird Drop,480,313,547,360
poop-139-_jpg.rf.c20c624032d590eb750cf3ca6a897dbd.jpg,640,640,Dusty,2,0,329,164
poop-139-_jpg.rf.c20c624032d590eb750cf3ca6a897dbd.jpg,640,640,Defective,0,0,342,168
poop-139-_jpg.rf.c20c624032d590eb750cf3ca6a897dbd.jpg,640,640,Bird Drop,219,130,261,181
poop-139-_jpg.rf.c20c624032d590eb750cf3ca6a897dbd.jpg,640,640,Dusty,191,0,585,112
poop-139-_jpg.rf.c20c624032d590eb750cf3ca6a897dbd.jpg,640,640,Defective,185,0,595,116
poop-139-_jpg.rf.c20c624032d590eb750cf3ca6a897dbd.jpg,640,640,Dusty,367,76,640,315
poop-139-_jpg.rf.c20c624032d590eb750cf3ca6a897dbd.jpg,640,640,Defective,357,70,640,320
poop-139-_jpg.rf.c20c624032d590eb750cf3ca6a897dbd.jpg,640,640,Defective,0,498,313,640
poop-139-_jpg.rf.c20c624032d590eb750cf3ca6a897dbd.jpg,640,640,Dusty,1,400,116,521
poop-139-_jpg.rf.c20c624032d590eb750cf3ca6a897dbd.jpg,640,640,Defective,0,394,124,524
poop-139-_jpg.rf.c20c624032d590eb750cf3ca6a897dbd.jpg,640,640,Defective,149,382,640,640
poop-139-_jpg.rf.c20c624032d590eb750cf3ca6a897dbd.jpg,640,640,Dusty,442,387,640,578
poop-139-_jpg.rf.c20c624032d590eb750cf3ca6a897dbd.jpg,640,640,Dusty,98,503,303,640
poop-139-_jpg.rf.c20c624032d590eb750cf3ca6a897dbd.jpg,640,640,Dusty,265,531,638,640
poop-139-_jpg.rf.c20c624032d590eb750cf3ca6a897dbd.jpg,640,640,Dusty,510,0,640,62
poop-139-_jpg.rf.c20c624032d590eb750cf3ca6a897dbd.jpg,640,640,Defective,503,0,640,67
poop-139-_jpg.rf.c20c624032d590eb750cf3ca6a897dbd.jpg,640,640,Bird Drop,589,428,610,449
poop-139-_jpg.rf.c20c624032d590eb750cf3ca6a897dbd.jpg,640,640,Bird Drop,421,463,452,505
IMG_0399_jpg.rf.ef780a6fca4b7001ce113b21da7fcd88.jpg,640,640,Non Defective,73,167,574,445
Bird-174-_jpg.rf.a6b27b3089dcf0dcb5ea015ddede6316.jpg,640,640,Defective,1,233,640,640
Bird-174-_jpg.rf.a6b27b3089dcf0dcb5ea015ddede6316.jpg,640,640,Bird Drop,0,234,576,635
Bird-174-_jpg.rf.a6b27b3089dcf0dcb5ea015ddede6316.jpg,640,640,Non Defective,151,1,640,230
Physical_Damge_309_jpg.rf.1108e581d7abc92e78b54953af87ad9f.jpg,640,640,Defective,0,0,580,600
Physical_Damge_309_jpg.rf.1108e581d7abc92e78b54953af87ad9f.jpg,640,640,Physical Damage,106,0,222,57
Physical_Damge_309_jpg.rf.1108e581d7abc92e78b54953af87ad9f.jpg,640,640,Physical Damage,438,0,582,111
Physical_Damge_309_jpg.rf.1108e581d7abc92e78b54953af87ad9f.jpg,640,640,Physical Damage,262,123,322,233
Physical_Damge_309_jpg.rf.1108e581d7abc92e78b54953af87ad9f.jpg,640,640,Physical Damage,242,281,306,381
ROI_96_jpg.rf.36782054f559f9e9bb3ee869556468be.jpg,640,640,Dusty,11,13,339,115
ROI_96_jpg.rf.36782054f559f9e9bb3ee869556468be.jpg,640,640,Dusty,433,5,640,109
Physical_Damge_2_jpg.rf.fb9d75f5d6c9a4c6e2794b2a7abb560c.jpg,640,640,Defective,5,5,636,637
Physical_Damge_2_jpg.rf.fb9d75f5d6c9a4c6e2794b2a7abb560c.jpg,640,640,Physical Damage,157,12,535,131
Physical_Damge_2_jpg.rf.fb9d75f5d6c9a4c6e2794b2a7abb560c.jpg,640,640,Physical Damage,158,137,557,326
Physical_Damge_2_jpg.rf.fb9d75f5d6c9a4c6e2794b2a7abb560c.jpg,640,640,Physical Damage,160,343,563,526
Physical_Damge_2_jpg.rf.fb9d75f5d6c9a4c6e2794b2a7abb560c.jpg,640,640,Physical Damage,163,537,557,634
solar_Thu_Jun_22_17__9__23_2017_L_0-710526315789_I_0-181505882353_jpg.rf.2ae8cec0cdc11a9b3f646dd580c32b1e.jpg,640,640,Defective,49,57,639,550
solar_Thu_Jun_22_17__9__23_2017_L_0-710526315789_I_0-181505882353_jpg.rf.2ae8cec0cdc11a9b3f646dd580c32b1e.jpg,640,640,Snow,140,267,187,323
solar_Thu_Jun_22_17__9__23_2017_L_0-710526315789_I_0-181505882353_jpg.rf.2ae8cec0cdc11a9b3f646dd580c32b1e.jpg,640,640,Snow,120,323,167,350
solar_Thu_Jun_22_17__9__23_2017_L_0-710526315789_I_0-181505882353_jpg.rf.2ae8cec0cdc11a9b3f646dd580c32b1e.jpg,640,640,Snow,103,357,137,393
solar_Thu_Jun_22_17__9__23_2017_L_0-710526315789_I_0-181505882353_jpg.rf.2ae8cec0cdc11a9b3f646dd580c32b1e.jpg,640,640,Snow,470,187,587,300
solar_Thu_Jun_22_17__9__23_2017_L_0-710526315789_I_0-181505882353_jpg.rf.2ae8cec0cdc11a9b3f646dd580c32b1e.jpg,640,640,Snow,394,183,474,300
solar_Thu_Jun_22_17__9__23_2017_L_0-710526315789_I_0-181505882353_jpg.rf.2ae8cec0cdc11a9b3f646dd580c32b1e.jpg,640,640,Snow,213,154,390,264
solar_Thu_Jun_22_17__9__23_2017_L_0-710526315789_I_0-181505882353_jpg.rf.2ae8cec0cdc11a9b3f646dd580c32b1e.jpg,640,640,Snow,340,264,380,284
solar_Thu_Jun_22_17__9__23_2017_L_0-710526315789_I_0-181505882353_jpg.rf.2ae8cec0cdc11a9b3f646dd580c32b1e.jpg,640,640,Snow,190,204,217,254
